"entidad","nom_ent","mun","nom_mun","loc","nom_loc","longitud","latitud","altitud","pobtot","pmascul","pfemeni","pob0_4","p5_mas","pob6_14","pob12_","pob15_","pob15_17","pob15_24","pobf15_49","pob18_","pmasc18_","pfemen18_","psderss","pcderss","pderimss","pderiste","pnacent","pnacoent","p5_res95","p5_reso95","pcondisc","pcdismot","pcdisaud","pcdisvis","pcdismen","pcdislen","psindisc","p6_14slee","p6_14nlee","p15_alfab","p15_analf","p5_asiesc","p5_naesc","p6_14aesc","p6_14naesc","p15_17aesc","p15_24aesc","p15_24nesc","p15_sinstr","p15_sprima","p15_cprima","p15_pospri","p15_ssecu","p15_csecu","p15_sinsec","p15_consec","p15_cmedss","p18_smedsu","p18_cmedsu","p18_csuper","gradoesco","psolter12_","pcasada12_","p5_hli","p5_hliyne","p5_hliye","p5_catolic","p5_ncatoli","p5_sinreli","pecoactiv","pecoinact","pocupada","pocusecp","pocusecs","pocusect","pocuningr","p_1sm","p1_2sm","p2_5sm","p6_10sm","p10_sm","pnotraba","p_32htra","p33_40htr","p41_48htr","p48_htr","totvivhab","vivparhab","ocuvivpar","pro_ovp","pro_ocvp","vp_pardes","vp_tecdes","vp_pisdes","vp_ccuart","vp2_5cuar","vp_2cuar","v_1cuarto","vp_cocgas","vp_coclen","vp_coccar","vp_cocpet","vp_sersan","vp_aguent","vp_drenaj","vp_electr","vp_dreagu","vp_dreele","vp_aguele","vp_agdrel","vp_noade","vp_propia","vp_ppagad","vp_ppagan","vp_rentad","vp_cbiene","vp_sbiene","vp_radio","vp_tv","vp_video","vp_refri","vp_lavad","vp_telef","vp_boiler","vp_autom","tothog","hogjefm","hogjeff","pobhog","phogjefm","phogjeff"
31,Yucatán,049,Mayapán,0052,MAYAPAN,0891235,202754,24,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,Yucatán,049,Mayapán,0057,MAYAPAN,0891240,202833,18,17,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,Yucatán,049,Mayapán,0062,SAN FELIPE,0891010,203255,19,6,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,Yucatán,049,Mayapán,0064,SANTA MARIA UC,0891017,203319,19,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
31,Yucatán,049,Mayapán,9998,LOCALIDADES DE UNA VIVIENDA,,,,24,15,9,2,22,4,18,16,0,2,4,16,10,6,24,0,0,0,24,0,22,0,2,1,0,0,0,1,22,2,2,10,6,1,1,2,2,0,0,2,6,7,3,0,0,0,16,0,0,16,0,0,3,4,10,22,8,14,21,0,0,12,6,12,12,0,0,5,7,0,0,0,0,0,1,2,7,1,5,5,24,4.80,3.43,0,1,2,3,2,4,0,0,5,0,0,1,1,0,1,0,0,1,0,4,5,5,0,0,0,1,4,1,0,0,0,0,0,0,5,5,0,24,24,0
31,Yucatán,049,Mayapán,9999,LOCALIDADES DE DOS VIVIENDAS,,,,23,10,13,2,21,3,16,14,1,6,5,13,8,5,23,0,0,0,23,0,21,0,0,0,0,0,0,0,23,1,2,4,10,1,3,1,2,0,0,6,5,7,1,1,0,1,13,1,0,13,0,0,2,7,8,21,14,7,21,0,0,13,3,13,9,4,0,13,0,0,0,0,0,0,5,4,4,0,4,4,23,5.75,3.83,0,1,2,2,2,1,2,0,4,0,0,1,2,0,1,0,0,1,0,2,4,4,0,0,0,3,1,0,0,0,0,0,0,0,5,5,0,23,23,0
31,Yucatán,050,Mérida,0000,TOTAL MUNICIPAL,,,,705055,339543,365512,65745,633941,123479,536996,496453,41533,139142,200572,454920,213692,241228,245882,450211,395018,47986,612817,86808,600966,31676,20556,9052,2807,6882,3259,650,677887,113434,9755,473290,22399,12270,1314,118303,4833,30310,65085,73663,22910,79740,74718,314517,27880,88300,177449,119853,194664,267197,105750,77610,9,197877,288823,92465,519,91177,553227,59285,77186,288809,246758,286134,4521,74788,201921,6289,39482,105895,78707,28811,15729,4017,50694,55735,73167,96410,172498,171392,697232,4.07,1.24,2820,7962,168776,21139,136117,19830,11204,154449,11272,2100,42,156010,161685,144085,168643,141199,143553,160389,140797,1162,140368,99477,36088,17958,15867,3083,153244,161675,77774,142273,121590,86376,57944,66086,177341,138100,39241,697249,568056,129193
31,Yucatán,050,Mérida,0001,MERIDA,0893718,205804,9,662530,317826,344704,60969,596334,114922,506124,468446,38759,129772,189467,429687,200747,228940,224877,428962,374546,47551,571829,85509,564066,31125,19153,8520,2616,6253,3068,595,637038,106174,8482,449663,18119,11496,1081,110444,4160,28951,62994,66440,19315,69975,68744,306188,26405,84179,158111,114229,191959,244722,104134,76801,9,186643,271077,76226,274,75330,521282,55672,71879,272427,232430,269877,2513,67656,195072,5685,35803,96861,76766,28616,15490,3767,48179,53655,68676,89945,163751,162660,654893,4.03,1.21,2546,6318,160401,17775,131008,16650,9369,151014,6133,2073,40,151675,155073,142388,160347,139741,141872,153955,139346,947,132598,92516,35718,17777,15657,2421,146634,154384,76603,138310,117925,85648,57457,65257,167873,129727,38146,654910,529866,125044
31,Yucatán,050,Mérida,0075,CAUCEL,0894225,210053,8,6020,3047,2973,710,5277,1179,4386,3969,449,1372,1602,3520,1785,1735,3346,2656,2611,38,5922,61,5237,25,270,79,17,157,39,3,5727,969,207,3226,740,96,27,1072,104,238,335,1028,633,1349,732,1230,240,629,2715,873,357,3206,243,47,5,1601,2516,1724,22,1679,4892,257,358,2290,2085,2272,180,922,1088,174,659,1131,228,11,11,79,324,230,734,807,1148,1148,6020,5.24,2.53,17,146,1121,371,756,408,249,395,729,7,0,791,713,120,1081,107,120,697,107,43,1053,899,65,23,5,91,851,943,148,489,489,36,24,72,1266,1098,168,6020,5295,725
31,Yucatán,050,Mérida,0076,COSGAYA,0894216,210545,9,542,274,268,57,483,110,402,357,33,119,135,324,177,147,160,381,381,0,541,0,482,0,27,14,3,11,5,1,511,103,7,301,55,14,2,103,7,19,30,88,39,156,82,78,20,48,277,68,10,314,8,0,5,151,222,256,0,255,356,74,125,215,182,213,77,99,36,5,40,148,16,0,1,0,30,14,63,104,115,115,542,4.71,2.42,4,26,114,39,75,45,31,30,85,0,0,13,112,9,110,8,8,108,7,1,108,101,7,2,0,8,89,93,7,38,42,1,2,6,119,111,8,542,513,29
